comparison,comparison_label,problem,seed_count,mean_delta_hv,mean_delta_hv_auc,win_count,loss_count,tie_count
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob030_right_shifter,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob031_freq_div,5,0.0416214605067,0.0359599403874,4,1,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob032_freq_divbyeven,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob033_freq_divbyfrac,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob034_freq_divbyodd,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob035_calendar,5,-1.66747513946e-05,-8.33737569732e-06,0,1,4
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob036_edge_detect,5,0,0.136795761849,1,1,3
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob037_parallel2serial,5,0.0181427520236,0.0113495217071,1,1,3
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob038_pulse_detect,5,-0.00420574026712,-0.00358908780902,0,1,4
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob039_serial2parallel,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob041_traffic_light,5,-0.0178238198984,-0.006243928831,3,2,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob042_width_8to16,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob043_RAM,5,0.00686663016405,0.00085303279668,3,2,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob044_ROM,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob045_alu,5,-0.0370905018726,-0.0288146620146,1,4,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob046_clkgenerator,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob047_instr_reg,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob048_pe,5,0,-9.0032959716e-09,1,1,3
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob049_signal_generator,5,0.0010640946719,0.00106395693186,3,2,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob050_square_wave,5,0.198011832709,0.177904189074,4,1,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob001_accu,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob002_adder_16bit,5,0.028103987815,0.0252935890334,1,0,4
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob003_adder_32bit,5,-0.134891950501,-0.134891950501,0,1,4
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob004_adder_8bit,5,0,-0.030205257836,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob005_adder_bcd,5,-2.06033848418e-05,0.0013018101546,0,1,4
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob007_comparator_3bit,5,-0.0116633687114,-0.0128297055825,1,2,2
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob008_comparator_4bit,5,0.0121472727273,0.0182110909088,2,0,3
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob009_div_16bit,5,-0.000907706982637,0.0016484450404,2,2,1
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob010_radix2_div,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob011_multi_16bit,5,0.00796593585257,0.00511132563809,4,1,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob012_multi_8bit,5,0,0.0005281864044,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob014_multi_pipe_4bit,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob015_multi_pipe_8bit,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob016_fixed_point_adder,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob017_fixed_point_substractor,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob019_sub_64bit,5,2.19658239918e-06,-0.070759491425,2,2,1
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob020_JC_counter,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob021_counter_12,5,1.44974444036e-05,-6.94865881782e-05,1,1,3
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob022_ring_counter,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob023_up_down_counter,5,-4.697434865e-05,-0.00117279290463,1,1,3
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob024_fsm,5,-0.0180794494839,-0.0627699405693,1,3,1
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob025_sequence_detector,5,-0.0312869463403,-0.010797719679,1,4,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob026_asyn_fifo,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob027_LIFObuffer,5,-0.00274296202649,-0.00345655786306,1,4,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob028_LFSR,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob029_barrel_shifter,5,-0.0307356321839,-0.00571829821198,0,2,3
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob030_right_shifter,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob031_freq_div,5,0.00337645305511,-0.00288524590164,3,2,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob032_freq_divbyeven,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob033_freq_divbyfrac,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob034_freq_divbyodd,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob035_calendar,5,-1.66747513946e-05,-8.33737569732e-06,0,1,4
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob036_edge_detect,5,-0.100340838764,-0.0054996339738,1,1,3
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob037_parallel2serial,5,0.0181015452539,0.00545577630609,1,2,2
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob038_pulse_detect,5,0.0643932935493,0.0144292886236,1,1,3
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob039_serial2parallel,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob041_traffic_light,5,-0.0447012708788,-0.0034719934644,2,3,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob042_width_8to16,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob043_RAM,5,-0.0178399926457,-0.0227608921267,1,4,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob044_ROM,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob045_alu,5,-0.0357682964716,-0.0141130035874,2,3,0
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob046_clkgenerator,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob047_instr_reg,5,0,0,0,0,5
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob048_pe,5,-4.5016479858e-08,-1.35049439574e-08,0,1,4
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob049_signal_generator,5,0.000272089526778,-0.00079170847432,2,2,1
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,Prob050_square_wave,5,0.196299645597,0.0190129110901,1,4,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob001_accu,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob002_adder_16bit,5,0.05620797563,0.0533975768484,2,0,3
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob003_adder_32bit,5,-0.134891950501,-0.134891950501,0,1,4
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob004_adder_8bit,5,0,-0.0120821031344,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob005_adder_bcd,5,-2.06033848418e-05,-0.0026526269316,0,1,4
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob007_comparator_3bit,5,0.0116633687114,0.00349901061342,2,1,2
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob008_comparator_4bit,5,0,0.0072882727272,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob009_div_16bit,5,-0.00257271331694,-0.0050624896046,2,3,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob010_radix2_div,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob011_multi_16bit,5,0.00756145932359,0.00400015844209,4,0,1
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob012_multi_8bit,5,0,-0.0023969154786,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob014_multi_pipe_4bit,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob015_multi_pipe_8bit,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob016_fixed_point_adder,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob017_fixed_point_substractor,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob019_sub_64bit,5,-0.015804332192,-0.027443843316,2,1,2
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob020_JC_counter,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob021_counter_12,5,0.000206335720354,0.000103167860177,1,0,4
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob022_ring_counter,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob023_up_down_counter,5,-0.00191029017845,-0.000955145089224,1,2,2
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob024_fsm,5,-0.0570910228339,-0.0960167344383,0,3,2
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob025_sequence_detector,5,-0.0197818202587,-0.00653925236316,1,3,1
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob026_asyn_fifo,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob027_LIFObuffer,5,-0.0013588734576,-0.00283637664581,1,4,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob028_LFSR,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob029_barrel_shifter,5,-0.0238965517241,-0.00284440187314,0,2,3
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob030_right_shifter,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob031_freq_div,5,-0.0127427719821,-0.0200145454546,3,2,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob032_freq_divbyeven,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob033_freq_divbyfrac,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob034_freq_divbyodd,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob035_calendar,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob036_edge_detect,5,0.00742411584516,-0.0692436647174,1,0,4
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob037_parallel2serial,5,-0.0024155015943,-0.00394427274957,2,3,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob038_pulse_detect,5,0.0728047740835,0.0180183764326,2,0,3
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob039_serial2parallel,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob041_traffic_light,5,0.0194715686273,0.0203473602032,3,2,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob042_width_8to16,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob043_RAM,5,-0.029076230573,-0.033593728051,1,4,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob044_ROM,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob045_alu,5,-0.0166527191011,-0.0088011287206,3,2,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob046_clkgenerator,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob047_instr_reg,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob048_pe,5,0,0,0,0,5
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob049_signal_generator,5,0.00349774901013,0.00107871630532,5,0,0
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,Prob050_square_wave,5,0.197697937707,0.0196050427648,4,1,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob001_accu,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob002_adder_16bit,5,-0.0281152035448,-0.0252991968982,1,2,2
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob003_adder_32bit,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob004_adder_8bit,5,0,-0.0120821031344,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob005_adder_bcd,5,2.06033848418e-05,6.1810154e-06,1,0,4
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob007_comparator_3bit,5,-0.0233267374228,-0.016328716196,0,2,3
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob008_comparator_4bit,5,0.0182290909091,0.0176004242424,3,1,1
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob009_div_16bit,5,0.000264064386318,0.0016742520308,3,2,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob010_radix2_div,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob011_multi_16bit,5,-0.00447808457927,-0.00134052552359,0,4,1
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob012_multi_8bit,5,0,0.0010563728088,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob014_multi_pipe_4bit,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob015_multi_pipe_8bit,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob016_fixed_point_adder,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob017_fixed_point_substractor,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob019_sub_64bit,5,-0.000965065741132,-0.0909208675328,1,2,2
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob020_JC_counter,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob021_counter_12,5,-0.000329395422853,-0.000164697711427,0,2,3
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob022_ring_counter,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob023_up_down_counter,5,0,-0.00076411607138,2,2,1
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob024_fsm,5,0.0931248045043,0.038228182671,3,0,2
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob025_sequence_detector,5,0.00180697946712,-0.00124145058114,2,1,2
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob026_asyn_fifo,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob027_LIFObuffer,5,-0.000374092373677,0.000148453967784,3,2,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob028_LFSR,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob029_barrel_shifter,5,0.0102432950192,0.000967352064712,2,2,1
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob030_right_shifter,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob031_freq_div,5,-0.0255022354695,-0.0188306408344,1,3,1
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob032_freq_divbyeven,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob033_freq_divbyfrac,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob034_freq_divbyodd,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob035_calendar,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob036_edge_detect,5,-0.107764954609,-0.0730517311056,0,1,4
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob037_parallel2serial,5,0.00237429482464,-0.00194947265145,3,2,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob038_pulse_detect,5,-0.00420574026712,-8.00019772651e-15,1,2,2
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob039_serial2parallel,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob041_traffic_light,5,-0.0463490196079,-0.0175754248366,1,4,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob042_width_8to16,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob043_RAM,5,0.00436960776329,0.0099798031277,3,2,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob044_ROM,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob045_alu,5,0.0179749245023,0.0235027871478,4,1,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob046_clkgenerator,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob047_instr_reg,5,0,0,0,0,5
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob048_pe,5,-4.5016479858e-08,-4.5016479858e-09,0,1,4
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob049_signal_generator,5,-0.00428975415525,-0.0029343817115,0,5,0
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,Prob050_square_wave,5,-0.199410124819,-0.178496320749,0,5,0
