problem,profile,method,method_label,front_cell_delta,occupied_cell_delta,front_count_delta,candidate_count_delta
Prob041_traffic_light,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,-2.000000,0.000000,1.000000
Prob041_traffic_light,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,2.000000,-1.000000,2.000000,3.000000
Prob045_alu,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,-1.000000,0.000000,8.000000
Prob045_alu,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,1.000000,-1.000000,1.000000,2.000000
Prob045_alu,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,1.000000,0.000000,10.000000
Prob045_alu,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,3.000000,0.000000,8.000000
Prob045_alu,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,1.000000,1.000000,1.000000,2.000000
Prob045_alu,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,3.000000,0.000000,10.000000
Prob045_alu,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,8.000000
Prob045_alu,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,1.000000,0.000000,1.000000,2.000000
Prob045_alu,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,10.000000
Prob049_signal_generator,timing_risk,code_thought_front_slot_qd,T51 code-thought,-1.000000,-2.000000,-1.000000,-3.000000
Prob049_signal_generator,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,-2.000000,-1.000000,-3.000000
Prob049_signal_generator,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,-2.000000,-3.000000,-1.000000,-3.000000
Prob049_signal_generator,operator_timing,code_thought_front_slot_qd,T51 code-thought,-1.000000,-3.000000,-1.000000,-3.000000
Prob049_signal_generator,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,-3.000000,-1.000000,-3.000000
Prob049_signal_generator,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,-2.000000,-4.000000,-1.000000,-3.000000
Prob049_signal_generator,control_pipeline,code_thought_front_slot_qd,T51 code-thought,-1.000000,-1.000000,-1.000000,-3.000000
Prob049_signal_generator,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,-1.000000,-1.000000,-3.000000
Prob049_signal_generator,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,-2.000000,-2.000000,-1.000000,-3.000000
Prob098_circuit7,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,0.000000,0.000000,0.000000
Prob098_circuit7,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,0.000000
Prob116_m2014_q3,timing_risk,code_thought_front_slot_qd,T51 code-thought,-1.000000,0.000000,-1.000000,-1.000000
Prob116_m2014_q3,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,-1.000000,-1.000000,-2.000000
Prob116_m2014_q3,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,-1.000000,-1.000000,-1.000000,0.000000
Prob116_m2014_q3,operator_timing,code_thought_front_slot_qd,T51 code-thought,-1.000000,1.000000,-1.000000,-1.000000
Prob116_m2014_q3,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,0.000000,-1.000000,-2.000000
Prob116_m2014_q3,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,-1.000000,1.000000,-1.000000,0.000000
Prob116_m2014_q3,control_pipeline,code_thought_front_slot_qd,T51 code-thought,-1.000000,-1.000000,-1.000000,-1.000000
Prob116_m2014_q3,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,-1.000000,-1.000000,-2.000000
Prob116_m2014_q3,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,-1.000000,-1.000000,-1.000000,0.000000
Prob135_m2014_q6b,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,-1.000000,0.000000,-1.000000
Prob135_m2014_q6b,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,0.000000,0.000000,0.000000
Prob135_m2014_q6b,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,1.000000,0.000000,2.000000
Prob135_m2014_q6b,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,-1.000000,0.000000,-1.000000
Prob135_m2014_q6b,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-1.000000,0.000000,0.000000
Prob135_m2014_q6b,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,1.000000,0.000000,2.000000
Prob135_m2014_q6b,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,-1.000000
Prob135_m2014_q6b,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,1.000000,0.000000,0.000000
Prob135_m2014_q6b,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,2.000000
Prob150_review2015_fsmonehot,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,-1.000000,0.000000,0.000000
Prob150_review2015_fsmonehot,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-1.000000,0.000000,-1.000000
Prob150_review2015_fsmonehot,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,-2.000000,0.000000,-2.000000
Prob150_review2015_fsmonehot,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,0.000000
Prob150_review2015_fsmonehot,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-1.000000,0.000000,-1.000000
Prob150_review2015_fsmonehot,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,-2.000000,0.000000,-2.000000
Prob150_review2015_fsmonehot,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,0.000000
Prob150_review2015_fsmonehot,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,0.000000,0.000000,-1.000000
Prob150_review2015_fsmonehot,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,-2.000000
Prob151_review2015_fsm,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,1.000000,0.000000,1.000000
Prob151_review2015_fsm,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,2.000000,0.000000,3.000000
Prob151_review2015_fsm,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,-1.000000,0.000000,-1.000000,0.000000
Prob151_review2015_fsm,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,1.000000,0.000000,1.000000
Prob151_review2015_fsm,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,1.000000,0.000000,3.000000
Prob151_review2015_fsm,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,-1.000000,0.000000,-1.000000,0.000000
Prob151_review2015_fsm,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,1.000000,0.000000,1.000000
Prob151_review2015_fsm,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,2.000000,0.000000,3.000000
Prob151_review2015_fsm,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,-1.000000,0.000000,-1.000000,0.000000
Prob153_gshare,timing_risk,code_thought_front_slot_qd,T51 code-thought,2.000000,4.000000,1.000000,7.000000
Prob153_gshare,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,1.000000,3.000000,1.000000,6.000000
Prob153_gshare,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,2.000000,4.000000,2.000000,5.000000
Prob153_gshare,operator_timing,code_thought_front_slot_qd,T51 code-thought,2.000000,3.000000,1.000000,7.000000
Prob153_gshare,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,1.000000,2.000000,1.000000,6.000000
Prob153_gshare,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,1.000000,3.000000,2.000000,5.000000
Prob153_gshare,control_pipeline,code_thought_front_slot_qd,T51 code-thought,1.000000,2.000000,1.000000,7.000000
Prob153_gshare,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,1.000000,2.000000,1.000000,6.000000
Prob153_gshare,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,3.000000,1.000000,2.000000,5.000000
