representation,point_type,corpus,method,seed,problem_id,candidate_id,area,power,eff_clk_period,fitness,is_all_valid_area_power_front
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,76aab9cd-d774-47c8-8593-0b99d87be3f0,1123.0,0.177,1.13,-0.004307464062455,False
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,801fc0e4-e054-49bd-981a-7e01e0060756,1089.0,0.171,1.21,-0.0055332296257886,True
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,bb12dc31-aef1-44aa-9568-0fb5721094c9,1288.0,0.206,1.15,-0.1154500235262485,False
all_valid,all_valid,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,07c91f5d-f806-45c9-a040-53336bf69f91,245.0,0.032,0.41,0.1218656016829722,False
all_valid,all_valid,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,bce41acf-3eb7-46b6-bf36-e50f0bde8089,238.0,0.0303,0.48,0.0833645963873213,True
all_valid,all_valid,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,605885af-bde4-463a-a33a-6b0465d9db77,242.0,0.0569,0.44,-0.0985216344768072,False
all_valid,all_valid,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,59c0f0fd-5c6a-4751-9ea0-24ba2e53b46c,245.0,0.0335,0.42,0.10138541891162,False
all_valid,all_valid,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,b34b28a5-af87-416b-bbb8-d93fcf74df74,222.0,0.0443,0.39,0.0667486157783968,True
all_valid,all_valid,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,a55286d5-1f76-4f2c-9689-65cb14ca72ba,221.0,0.0531,0.43,-0.0363325466573365,True
lexical_farthest,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,07c91f5d-f806-45c9-a040-53336bf69f91,245.0,0.032,0.41,0.1218656016829722,False
lexical_farthest,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,605885af-bde4-463a-a33a-6b0465d9db77,242.0,0.0569,0.44,-0.0985216344768072,False
lexical_farthest,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,b34b28a5-af87-416b-bbb8-d93fcf74df74,222.0,0.0443,0.39,0.0667486157783968,True
random,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,07c91f5d-f806-45c9-a040-53336bf69f91,245.0,0.032,0.41,0.1218656016829722,False
random,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,605885af-bde4-463a-a33a-6b0465d9db77,242.0,0.0569,0.44,-0.0985216344768072,False
random,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,a55286d5-1f76-4f2c-9689-65cb14ca72ba,221.0,0.0531,0.43,-0.0363325466573365,True
t13_impl_z_farthest,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,07c91f5d-f806-45c9-a040-53336bf69f91,245.0,0.032,0.41,0.1218656016829722,False
t13_impl_z_farthest,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,605885af-bde4-463a-a33a-6b0465d9db77,242.0,0.0569,0.44,-0.0985216344768072,False
t13_impl_z_farthest,selected,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,a55286d5-1f76-4f2c-9689-65cb14ca72ba,221.0,0.0531,0.43,-0.0363325466573365,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6c7ffc0d-b074-4c3b-a8d1-8b39def8d1f2,156.0,0.0269,0.0,0.1260530137981118,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6fa4b8d7-3863-46f9-b9b2-c45e1107e07c,145.0,0.0206,0.0,0.2556281771968046,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,9ee76968-0760-4ec3-8bf5-82e9404dc697,151.0,0.000458,0.0,0.5488144517066086,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,f516c962-72bf-4b1a-88d2-e0bf6bc18f6a,170.0,0.0268,0.0,0.0864197530864197,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,68032f15-22ae-47e0-af25-c395913b9d83,149.0,0.028,0.0,0.1296659404502541,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,8353f206-59b9-41e8-a7ed-7af3a3bfbf39,192.0,0.0286,0.0,-0.0060639070442992,False
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6c7ffc0d-b074-4c3b-a8d1-8b39def8d1f2,156.0,0.0269,0.0,0.1260530137981118,False
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6fa4b8d7-3863-46f9-b9b2-c45e1107e07c,145.0,0.0206,0.0,0.2556281771968046,True
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,8353f206-59b9-41e8-a7ed-7af3a3bfbf39,192.0,0.0286,0.0,-0.0060639070442992,False
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6c7ffc0d-b074-4c3b-a8d1-8b39def8d1f2,156.0,0.0269,0.0,0.1260530137981118,False
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,9ee76968-0760-4ec3-8bf5-82e9404dc697,151.0,0.000458,0.0,0.5488144517066086,True
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,f516c962-72bf-4b1a-88d2-e0bf6bc18f6a,170.0,0.0268,0.0,0.0864197530864197,False
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6c7ffc0d-b074-4c3b-a8d1-8b39def8d1f2,156.0,0.0269,0.0,0.1260530137981118,False
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6fa4b8d7-3863-46f9-b9b2-c45e1107e07c,145.0,0.0206,0.0,0.2556281771968046,True
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,8353f206-59b9-41e8-a7ed-7af3a3bfbf39,192.0,0.0286,0.0,-0.0060639070442992,False
