index,directory,direct_ppa_artifact,direct_ppa_path,qd_ppa_viewer,qd_ppa_viewer_path,visual_inspection_notes,visual_inspection_path,status
T30,T30_t26_holdout_front_audit,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T30_t26_holdout_front_audit/figures/t30_holdout_ppa_fronts_area_power_zoom.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T30_t26_holdout_front_audit/figures/visual_inspection_notes.md,current_holdout_audit
T31,T31_sr_raw_fail_feedback_repair_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T31_sr_raw_fail_feedback_repair_qd/figures/t31_holdout_ppa_pareto_area_power.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T31_sr_raw_fail_feedback_repair_qd/figures/visual_inspection_notes.md,T0_diagnostic
T32,T32_sr_raw_front_preserving_emitter_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T32_sr_raw_front_preserving_emitter_qd/figures/t32_holdout_ppa_pareto_area_power.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T32_sr_raw_front_preserving_emitter_qd/figures/visual_inspection_notes.md,current_holdout_result
T33,T33_qwen3_preprocessing_ladder_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T33_qwen3_preprocessing_ladder_bd/figures/visual_inspection_notes.md,current_replay_result
T34,T34_qwen_pca_residual_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T34_qwen_pca_residual_bd/figures/visual_inspection_notes.md,current_replay_result
T35,T35_t11_pareto_coupling_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T35_t11_pareto_coupling_bd/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T35_t11_pareto_coupling_bd/figures/visual_inspection_notes.md,current_replay_result
T36,T36_t11_bounded_front_lane_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T36_t11_bounded_front_lane_bd/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T36_t11_bounded_front_lane_bd/figures/visual_inspection_notes.md,current_replay_result
T37,T37_t36_slot_count_ablation,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T37_t36_slot_count_ablation/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T37_t36_slot_count_ablation/figures/visual_inspection_notes.md,current_replay_result
T38,T38_elite_pareto_slot_live_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T38_elite_pareto_slot_live_qd/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T38_elite_pareto_slot_live_qd/figures/visual_inspection_notes.md,current_live_result
T39,T39_sparse_yield_warmup_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T39_sparse_yield_warmup_qd/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T39_sparse_yield_warmup_qd/figures/visual_inspection_notes.md,current_live_result
T40,T40_sparse_warmup_control_matrix,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T40_sparse_warmup_control_matrix/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T40_sparse_warmup_control_matrix/figures/visual_inspection_notes.md,current_live_result
T41,T41_adaptive_sparse_yield_gate_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T41_adaptive_sparse_yield_gate_qd/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T41_adaptive_sparse_yield_gate_qd/figures/visual_inspection_notes.md,current_live_result
T42,T42_initial_sparse_yield_gate_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T42_initial_sparse_yield_gate_qd/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T42_initial_sparse_yield_gate_qd/figures/visual_inspection_notes.md,current_live_result
T43,T43_staged_sparse_yield_gate_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T43_staged_sparse_yield_gate_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T43_staged_sparse_yield_gate_qd/visualizations/qd_ppa_viewer/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T43_staged_sparse_yield_gate_qd/figures/visual_inspection_notes.md,current_live_result
T44,T44_t11_runtime_graph_bridge,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T44_t11_runtime_graph_bridge/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T44_t11_runtime_graph_bridge/visualizations/qd_ppa_viewer/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T44_t11_runtime_graph_bridge/figures/visual_inspection_notes.md,current_live_result
T45,T45_t11_runtime_top4_graph,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T45_t11_runtime_top4_graph/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T45_t11_runtime_top4_graph/visualizations/qd_ppa_viewer/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T45_t11_runtime_top4_graph/figures/visual_inspection_notes.md,current_live_result
T46,T46_t11_runtime_pca4_graph,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T46_t11_runtime_pca4_graph/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T46_t11_runtime_pca4_graph/visualizations/qd_ppa_viewer/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T46_t11_runtime_pca4_graph/figures/visual_inspection_notes.md,current_live_result
T47,T47_t26_contract_probe,no,not_found,no,not_found,no,not_found,current_hard_tuning_result
T48,T48_t26_gated_near_front_fusion_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T48_t26_gated_near_front_fusion_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T48_t26_gated_near_front_fusion_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T49,T49_thought_k_role_separated_repair_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T49_thought_k_role_separated_repair_qd/visualizations/direct_ppa_pareto/index.html,no,not_found,no,not_found,t0_mixed_diagnostic
T50,T50_candidate_matched_thought_front_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T50_candidate_matched_thought_front_qd/visualizations/direct_ppa_pareto/index.html,no,not_found,no,not_found,current_hard_tuning_result
T51,T51_code_thought_front_slot_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T51_code_thought_front_slot_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T51_code_thought_front_slot_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T52,T52_code_thought_full_pareto_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T52_code_thought_full_pareto_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T52_code_thought_full_pareto_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T53,T53_sparse_front_trigger_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T53_sparse_front_trigger_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T53_sparse_front_trigger_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T54,T54_front_slot_lane_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T54_front_slot_lane_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T54_front_slot_lane_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T55,T55_coarse_sr2_front_slot_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T55_coarse_sr2_front_slot_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T55_coarse_sr2_front_slot_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T56,T56_coarse_sr2_t51_control_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T56_coarse_sr2_t51_control_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T56_coarse_sr2_t51_control_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T57,T57_t51_adaptive_rebin_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T57_t51_adaptive_rebin_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T57_t51_adaptive_rebin_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T58,T58_t51_t11_pca4_front_slot_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T58_t51_t11_pca4_front_slot_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T58_t51_t11_pca4_front_slot_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T59,T59_t51_feedback_front_slot_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T59_t51_feedback_front_slot_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T59_t51_feedback_front_slot_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,T0_diagnostic_no_promotion
T60,T60_rtl_timer_timing_risk_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T60_rtl_timer_timing_risk_bd/figures/visual_inspection_notes.md,T0_diagnostic_proxy
T61,T61_rtl_timer_problem_local_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T61_rtl_timer_problem_local_bd/figures/visual_inspection_notes.md,T0_positive_proxy_not_promoted
T62,T62_fused_rtl_native_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T62_fused_rtl_native_bd/figures/visual_inspection_notes.md,T0_positive_proxy_not_promoted
T63,T63_fused_rtl_native_live_screen,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T63_fused_rtl_native_live_screen/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T63_fused_rtl_native_live_screen/visualizations/qd_ppa_viewer/index.html,no,not_found,T0_positive_mechanism_ablation_not_promoted
T64,T64_fused_operator_timing_live_screen,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T64_fused_operator_timing_live_screen/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T64_fused_operator_timing_live_screen/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T65,T65_rtl_native_secondary_cells,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T65_rtl_native_secondary_cells/figures/visual_inspection_notes.md,current_secondary_audit
T66,T66_rtl_native_front_guarded_parent_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T66_rtl_native_front_guarded_parent_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T66_rtl_native_front_guarded_parent_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,current_hard_tuning_result
T67,T67_rtl_native_seeded_thought_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T67_rtl_native_seeded_thought_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T67_rtl_native_seeded_thought_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,T0_diagnostic_yield_positive_front_negative_blocked
T68,T68_source_verified_rtl_native_extractors,no,not_found,no,not_found,no,not_found,T0_verification_gate
T69,T69_open_yosys_rtl_native_preprocessing,no,not_found,no,not_found,no,not_found,T0_preprocessing_unblocker
T70,T70_generated_rtl_extractor_smoke,no,not_found,no,not_found,no,not_found,T0_extractor_smoke_unblocker
T71,T71_source_aligned_rtl_native_feature_map,no,not_found,no,not_found,no,not_found,T0_descriptor_design_unblocker
T72,T72_source_aligned_rtl_cell_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T72_source_aligned_rtl_cell_qd/visualizations/direct_ppa_pareto/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T72_source_aligned_rtl_cell_qd/visualizations/qd_ppa_viewer/index.html,no,not_found,T1_near_classic_not_promoted
T73,T73_source_aligned_shape_density_qd,no,not_found,no,not_found,no,not_found,positive_diagnostic_not_promoted
T74,T74_shape_density_front_slot_hybrid_qd,no,not_found,no,not_found,no,not_found,T0_diagnostic_regression_not_promoted
T75,T75_shape_density_front_pressure_qd,no,not_found,no,not_found,no,not_found,T0_positive_diagnostic_not_promoted
T76,T76_masterrtl_pretrained_model_gate,no,not_found,no,not_found,no,not_found,T0_verification_gate_partial
T77,T77_masterrtl_area_leaf_variation_gate,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T77_masterrtl_area_leaf_variation_gate/figures/visual_inspection_notes.md,T0_variation_gate_negative
T78,T78_budget_depth_maturation_audit,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T78_budget_depth_maturation_audit/figures/visual_inspection_notes.md,T0_budget_hypothesis_support_not_live_ablation
T79,T79_budget_shape_ablation_protocol,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T79_budget_shape_ablation_protocol/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T79_budget_shape_ablation_protocol/figures/visual_inspection_notes.md,T0_budget_shape_negative
T80,T80_masterrtl_structural_mix_gate,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T80_masterrtl_structural_mix_gate/figures/visual_inspection_notes.md,T0_descriptor_gate_positive_not_live
T81,T81_masterrtl_rf_timing_state_gate,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T81_masterrtl_rf_timing_state_gate/figures/visual_inspection_notes.md,T0_model_state_gate_positive_not_live
T82,T82_masterrtl_rf_timing_runtime_hook,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T82_masterrtl_rf_timing_runtime_hook/figures/visual_inspection_notes.md,T0_screened_negative_not_promoted
T83,T83_rf_leafid_structural_delayed_qd,no,not_found,no,not_found,no,not_found,T0_near_classic_diagnostic_not_promoted
T84,T84_rf_leafid_front_slot_delayed_qd,no,not_found,no,not_found,no,not_found,T0_diagnostic_regression_not_promoted
T85,T85_front_guarded_qd_memory,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T85_front_guarded_qd_memory/figures/visual_inspection_notes.md,T0_smoke_negative_not_promoted
T86,T86_front_guarded_memory_controls,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T86_front_guarded_memory_controls/figures/visual_inspection_notes.md,T0_control_negative_not_promoted
T87,T87_front_guarded_rtl_native_memory,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T87_front_guarded_rtl_native_memory/figures/visual_inspection_notes.md,T0_smoke_negative_not_promoted
T88,preliminary_planning/20260626_rf_leafid_seed_robustness_gate,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/preliminary_planning/20260626_rf_leafid_seed_robustness_gate/figures/visual_inspection_notes.md,T0_replication_negative_not_promoted
T89,preliminary_planning/20260626_deepgate_signal_vs_aig_stats_gate,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/preliminary_planning/20260626_deepgate_signal_vs_aig_stats_gate/figures/visual_inspection_notes.md,T0_bridge_signal_positive_not_live
T90,preliminary_planning/20260626_deepgate_cone_bridge_probe,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/preliminary_planning/20260626_deepgate_cone_bridge_probe/figures/visual_inspection_notes.md,T0_bridge_coverage_positive_not_live
T91,preliminary_planning/20260626_deepgate_pooled_descriptor_replay,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/preliminary_planning/20260626_deepgate_pooled_descriptor_replay/figures/visual_inspection_notes.md,T0_descriptor_replay_positive_not_live
T92,preliminary_planning/20260626_deepgate_runtime_descriptor_gate,no,not_found,no,not_found,no,not_found,T0_runtime_gate_positive_not_live
T93,preliminary_planning/20260626_deepgate_runtime_live_smoke,no,not_found,no,not_found,no,not_found,T0_runtime_smoke_positive_not_screened
