method,method_label,problem,is_screen_problem,audited_ppa_point_count,ppa_front_count,unique_rtl_count,unique_netlist_count,unique_family_count,front_unique_rtl_count,front_unique_netlist_count,front_unique_family_count,reference_beating_unique_family_count,netlist_duplicate_count,family_duplicate_count,front_family_duplicate_count,audited_family_ratio,front_family_ratio,front_netlist_ratio
classic_revolution,Classic,Prob016_fixed_point_adder,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob017_fixed_point_substractor,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob018_float_multi,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob019_sub_64bit,False,9,1,9,9,9,1,1,1,3,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob020_JC_counter,False,4,1,4,4,4,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob021_counter_12,False,8,3,8,8,8,3,3,3,3,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob022_ring_counter,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob023_up_down_counter,False,3,1,3,3,3,1,1,1,1,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob024_fsm,False,8,1,8,8,7,1,1,1,3,0,1,0,0.875000,1.000000,1.000000
classic_revolution,Classic,Prob025_sequence_detector,False,3,1,3,3,3,1,1,1,2,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob026_asyn_fifo,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob027_LIFObuffer,False,32,6,32,32,32,6,6,6,7,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob028_LFSR,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob029_barrel_shifter,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob030_right_shifter,False,3,1,3,3,3,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob031_freq_div,False,5,1,5,5,5,1,1,1,5,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob032_freq_divbyeven,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob033_freq_divbyfrac,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob034_freq_divbyodd,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob035_calendar,False,5,2,5,5,5,2,2,2,1,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob036_edge_detect,False,8,1,8,8,7,1,1,1,4,0,1,0,0.875000,1.000000,1.000000
classic_revolution,Classic,Prob037_parallel2serial,False,8,1,8,8,8,1,1,1,3,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob038_pulse_detect,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob039_serial2parallel,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob040_synchronizer,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob041_traffic_light,True,17,3,17,17,17,3,3,3,16,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob042_width_8to16,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob043_RAM,False,11,2,11,11,11,2,2,2,11,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob044_ROM,False,3,2,3,3,2,2,2,2,1,0,1,0,0.666667,1.000000,1.000000
classic_revolution,Classic,Prob045_alu,True,28,1,28,28,28,1,1,1,28,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob046_clkgenerator,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob047_instr_reg,False,4,1,4,4,4,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob048_pe,False,5,3,5,5,5,3,3,3,1,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob049_signal_generator,False,11,4,11,11,9,4,4,4,8,0,2,0,0.818182,1.000000,1.000000
classic_revolution,Classic,Prob050_square_wave,False,25,2,25,25,24,2,2,2,6,0,1,0,0.960000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob001_accu,False,13,2,13,13,13,2,2,2,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,False,11,1,11,11,10,1,1,1,2,0,1,0,0.909091,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob003_adder_32bit,False,10,1,10,10,10,1,1,1,10,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob004_adder_8bit,False,11,1,11,11,11,1,1,1,2,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob005_adder_bcd,False,17,1,17,17,17,1,1,1,11,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob006_adder_pipe_64bit,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob007_comparator_3bit,False,8,1,8,8,7,1,1,1,1,0,1,0,0.875000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob008_comparator_4bit,False,20,1,20,20,20,1,1,1,14,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob009_div_16bit,False,16,4,16,16,16,4,4,4,16,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob010_radix2_div,False,3,2,3,3,3,2,2,2,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob011_multi_16bit,False,19,3,19,19,18,3,3,3,2,0,1,0,0.947368,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob012_multi_8bit,False,5,1,5,5,5,1,1,1,4,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob013_multi_booth_8bit,False,3,1,3,3,3,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob014_multi_pipe_4bit,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob015_multi_pipe_8bit,True,9,4,9,9,9,4,4,4,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob016_fixed_point_adder,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob017_fixed_point_substractor,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob018_float_multi,False,6,4,6,6,6,4,4,4,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob019_sub_64bit,False,12,1,12,12,12,1,1,1,6,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob020_JC_counter,False,4,1,4,4,4,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob021_counter_12,False,6,2,6,6,6,2,2,2,2,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob022_ring_counter,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob023_up_down_counter,False,1,1,1,1,1,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob024_fsm,False,8,3,8,8,7,3,3,3,4,0,1,0,0.875000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob025_sequence_detector,False,7,2,7,7,7,2,2,2,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob026_asyn_fifo,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob027_LIFObuffer,False,26,8,26,26,25,8,8,8,6,0,1,0,0.961538,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob028_LFSR,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob029_barrel_shifter,False,1,1,1,1,1,1,1,1,1,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob030_right_shifter,False,3,1,3,3,3,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob031_freq_div,False,3,1,3,3,3,1,1,1,2,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob032_freq_divbyeven,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob033_freq_divbyfrac,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob034_freq_divbyodd,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob035_calendar,False,6,3,6,6,6,3,3,3,1,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob036_edge_detect,False,4,1,4,4,4,1,1,1,1,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob037_parallel2serial,False,3,2,3,3,3,2,2,2,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob038_pulse_detect,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob039_serial2parallel,False,2,1,2,2,2,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob040_synchronizer,False,12,1,12,12,12,1,1,1,12,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob041_traffic_light,True,10,2,10,10,10,2,2,2,6,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob042_width_8to16,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob043_RAM,False,4,1,4,4,4,1,1,1,4,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob044_ROM,False,3,2,3,3,2,2,2,2,1,0,1,0,0.666667,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob045_alu,True,12,1,12,12,12,1,1,1,12,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob046_clkgenerator,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob047_instr_reg,False,3,1,3,3,3,1,1,1,0,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob048_pe,False,4,1,4,4,4,1,1,1,2,0,0,0,1.000000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob049_signal_generator,False,5,2,5,5,4,2,2,2,2,0,1,0,0.800000,1.000000,1.000000
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob050_square_wave,False,28,3,28,28,28,3,3,3,5,0,0,0,1.000000,1.000000,1.000000
