model,benchmark_name,init_func_pass_rate,final_func_pass_rate,init_func_any_pass_rate,final_func_any_pass_rate,area_improvement_percentage_compared_to_ref,power_improvement_percentage_compared_to_ref,eff_clk_improvement_percentage_compared_to_ref,avg_runtime_seconds
llama3_clean_results,RTLLM/Prob035_calendar,1.0000,0.6095,1.0000,1.0000,7.14,5.65,0.00,1593.03
llama3_clean_results,RTLLM/Prob036_edge_detect,0.7000,0.8333,1.0000,1.0000,N/A,N/A,N/A,1327.18
llama3_clean_results,RTLLM/Prob037_parallel2serial,0.3000,0.5238,1.0000,1.0000,N/A,N/A,N/A,2110.72
llama3_clean_results,RTLLM/Prob038_pulse_detect,0.0000,0.0524,0.0000,1.0000,N/A,N/A,N/A,1269.79
llama3_clean_results,RTLLM/Prob039_serial2parallel,0.2000,0.2714,1.0000,1.0000,34.52,56.30,13.33,4569.51
llama3_clean_results,RTLLM/Prob040_synchronizer,0.8000,0.8667,1.0000,1.0000,N/A,N/A,N/A,1458.42
llama3_clean_results,RTLLM/Prob041_traffic_light,0.0000,0.3952,0.0000,1.0000,25.29,99.21,N/A,1620.05
llama3_clean_results,RTLLM/Prob042_width_8to16,0.4000,0.3619,1.0000,1.0000,N/A,N/A,N/A,1280.94
llama3_clean_results,RTLLM/Prob043_RAM,1.0000,0.7095,1.0000,1.0000,41.96,82.57,100.00,1432.68
llama3_clean_results,RTLLM/Prob044_ROM,0.6000,0.7238,1.0000,1.0000,N/A,N/A,N/A,1269.32
llama3_clean_results,RTLLM/Prob045_alu,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,2195.76
llama3_clean_results,RTLLM/Prob046_clkgenerator,0.0000,0.1190,0.0000,1.0000,N/A,N/A,N/A,1646.41
llama3_clean_results,RTLLM/Prob047_instr_reg,0.5000,0.6714,1.0000,1.0000,N/A,N/A,N/A,1339.01
llama3_clean_results,RTLLM/Prob048_pe,0.9000,0.5952,1.0000,1.0000,41.67,41.46,22.93,1706.00
llama3_clean_results,RTLLM/Prob049_signal_generator,0.0000,0.5429,0.0000,1.0000,N/A,N/A,N/A,1276.41
llama3_clean_results,RTLLM/Prob050_square_wave,0.8000,0.9238,1.0000,1.0000,99.16,100.00,100.00,1313.10
llama3_clean_results,VerilogEval-Spec-to-RTL,0.4090,0.5776,0.6731,0.8846,4.2746,47.2713,48.1572,1459.7986
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob001_zero,0.9000,0.7905,1.0000,1.0000,N/A,N/A,N/A,1188.45
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob002_m2014_q4i,1.0000,0.8238,1.0000,1.0000,N/A,N/A,N/A,1198.49
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob003_step_one,0.9000,0.8143,1.0000,1.0000,N/A,N/A,N/A,1260.00
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob004_vector2,0.9000,0.7238,1.0000,1.0000,N/A,N/A,N/A,1295.61
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob005_notgate,0.8000,0.9095,1.0000,1.0000,N/A,N/A,N/A,1333.83
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob006_vectorr,0.9000,0.4190,1.0000,1.0000,N/A,N/A,N/A,1389.46
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob007_wire,1.0000,0.9190,1.0000,1.0000,N/A,N/A,N/A,1231.44
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob008_m2014_q4h,0.9000,0.7667,1.0000,1.0000,N/A,N/A,N/A,1242.20
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob009_popcount3,0.9000,0.6762,1.0000,1.0000,N/A,N/A,N/A,1151.31
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob010_mt2015_q4a,0.9000,0.9095,1.0000,1.0000,N/A,N/A,N/A,1739.37
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob011_norgate,1.0000,0.9048,1.0000,1.0000,N/A,N/A,N/A,1215.26
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob012_xnorgate,1.0000,0.9524,1.0000,1.0000,N/A,N/A,N/A,982.12
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob013_m2014_q4e,1.0000,0.8667,1.0000,1.0000,N/A,N/A,N/A,937.68
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob014_andgate,0.6000,0.8762,1.0000,1.0000,N/A,N/A,N/A,986.28
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob015_vector1,1.0000,0.9190,1.0000,1.0000,N/A,N/A,N/A,1110.54
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob016_m2014_q4j,0.6000,0.7333,1.0000,1.0000,N/A,N/A,N/A,1792.42
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob017_mux2to1v,1.0000,0.7571,1.0000,1.0000,0.00,98.93,N/A,1204.60
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob018_mux256to1,0.7000,0.8190,1.0000,1.0000,16.86,41.35,N/A,1845.36
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob019_m2014_q4f,1.0000,0.8619,1.0000,1.0000,N/A,N/A,N/A,1264.61
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob020_mt2015_eq2,0.9000,0.8857,1.0000,1.0000,N/A,N/A,N/A,1073.35
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,0.5000,0.7143,1.0000,1.0000,31.18,65.18,N/A,2289.41
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob022_mux2to1,0.9000,0.9571,1.0000,1.0000,N/A,N/A,N/A,1033.56
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob023_vector100r,0.6000,0.4333,1.0000,1.0000,0.00,0.00,N/A,1600.51
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob024_hadd,0.9000,0.9190,1.0000,1.0000,N/A,N/A,N/A,1247.67
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob025_reduction,1.0000,0.9000,1.0000,1.0000,N/A,N/A,N/A,1094.44
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob026_alwaysblock1,0.4000,0.7905,1.0000,1.0000,N/A,N/A,N/A,1258.06
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob027_fadd,0.9000,0.8952,1.0000,1.0000,N/A,N/A,N/A,1098.07
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob028_m2014_q4a,0.9000,0.8952,1.0000,1.0000,N/A,N/A,N/A,1201.34
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob029_m2014_q4g,0.9000,0.8714,1.0000,1.0000,N/A,N/A,N/A,1344.87
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob030_popcount255,0.3000,0.5333,1.0000,1.0000,3.88,85.72,N/A,12018.68
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob031_dff,0.8000,0.8286,1.0000,1.0000,N/A,N/A,N/A,1344.42
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob032_vector0,1.0000,0.7048,1.0000,1.0000,N/A,N/A,N/A,1355.54
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob033_ece241_2014_q1c,0.8000,0.6952,1.0000,1.0000,N/A,N/A,N/A,1441.09
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob034_dff8,0.0000,0.2238,0.0000,1.0000,N/A,N/A,N/A,1265.44
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob035_count1to10,0.7000,0.9000,1.0000,1.0000,N/A,N/A,N/A,1547.49
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob036_ringer,0.9000,0.8857,1.0000,1.0000,N/A,N/A,N/A,1098.15
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob037_review2015_count1k,0.7000,0.7571,1.0000,1.0000,N/A,N/A,N/A,1720.63
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob038_count15,0.8000,0.8524,1.0000,1.0000,N/A,N/A,N/A,1520.60
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob039_always_if,0.3000,0.8476,1.0000,1.0000,N/A,N/A,N/A,1557.20
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob040_count10,0.8000,0.8667,1.0000,1.0000,N/A,N/A,N/A,1172.93
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob041_dff8r,0.1000,0.7143,1.0000,1.0000,N/A,N/A,N/A,1210.73
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob042_vector4,0.9000,0.5762,1.0000,1.0000,N/A,N/A,N/A,1159.26
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob043_vector5,0.5000,0.5619,1.0000,1.0000,N/A,N/A,N/A,1644.20
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob044_vectorgates,1.0000,0.9476,1.0000,1.0000,N/A,N/A,N/A,1383.98
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob045_edgedetect2,0.3000,0.5476,1.0000,1.0000,N/A,N/A,N/A,1398.72
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob046_dff8p,0.1000,0.6762,1.0000,1.0000,N/A,N/A,N/A,2105.63
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob047_dff8ar,0.3000,0.7714,1.0000,1.0000,N/A,N/A,N/A,1577.59
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob048_m2014_q4c,0.8000,0.9095,1.0000,1.0000,N/A,N/A,N/A,1391.82
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob049_m2014_q4b,0.4000,0.5810,1.0000,1.0000,N/A,N/A,N/A,1111.32
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob050_kmap1,0.3000,0.7714,1.0000,1.0000,N/A,N/A,N/A,1190.00
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob051_gates4,1.0000,0.8714,1.0000,1.0000,N/A,N/A,N/A,1380.63
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob052_gates100,0.7000,0.8190,1.0000,1.0000,40.18,98.89,N/A,2284.57
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob053_m2014_q4d,0.0000,0.4524,0.0000,1.0000,N/A,N/A,N/A,1089.32
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob054_edgedetect,0.3000,0.4857,1.0000,1.0000,N/A,N/A,N/A,1283.17
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob055_conditional,0.4000,0.8667,1.0000,1.0000,14.40,99.24,N/A,1222.93
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob056_ece241_2013_q7,0.8000,0.8952,1.0000,1.0000,N/A,N/A,N/A,1109.03
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob057_kmap2,0.0000,0.0095,0.0000,1.0000,N/A,N/A,N/A,1187.38
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob058_alwaysblock2,0.0000,0.4714,0.0000,1.0000,N/A,N/A,N/A,1137.02
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob059_wire4,1.0000,0.9238,1.0000,1.0000,N/A,N/A,N/A,1024.33
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob060_m2014_q4k,0.9000,0.7857,1.0000,1.0000,N/A,N/A,N/A,1283.43
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob061_2014_q4a,0.9000,0.8714,1.0000,1.0000,N/A,N/A,N/A,1105.27
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob062_bugs_mux2,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,984.01
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob063_review2015_shiftcount,0.0000,0.0952,0.0000,1.0000,N/A,N/A,N/A,1408.19
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob064_vector3,0.8000,0.7619,1.0000,1.0000,N/A,N/A,N/A,1245.11
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob065_7420,0.7000,0.8619,1.0000,1.0000,N/A,N/A,N/A,1350.50
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob066_edgecapture,0.0000,0.0095,0.0000,1.0000,N/A,N/A,N/A,1405.85
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob067_countslow,0.6000,0.9000,1.0000,1.0000,N/A,N/A,N/A,1173.30
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob068_countbcd,0.0000,0.5429,0.0000,1.0000,0.56,99.82,100.00,1699.32
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob069_truthtable1,0.2000,0.7799,1.0000,1.0000,N/A,N/A,N/A,1278.68
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob070_ece241_2013_q2,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1762.93
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob071_always_casez,0.0000,0.1952,0.0000,1.0000,N/A,N/A,N/A,1200.67
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob072_thermostat,0.8000,0.8190,1.0000,1.0000,N/A,N/A,N/A,1287.85
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob073_dff16e,0.6000,0.9048,1.0000,1.0000,0.00,99.59,100.00,1267.30
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob074_ece241_2014_q4,0.1000,0.3238,1.0000,1.0000,N/A,N/A,N/A,1328.71
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob075_counter_2bc,0.9000,0.8762,1.0000,1.0000,N/A,N/A,N/A,1319.23
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob076_always_case,0.0000,0.8762,0.0000,1.0000,N/A,N/A,N/A,1316.33
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob077_wire_decl,0.6000,0.8857,1.0000,1.0000,N/A,N/A,N/A,1102.34
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob078_dualedge,0.4000,0.6238,1.0000,1.0000,N/A,N/A,N/A,1440.94
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob079_fsm3onehot,0.3000,0.5095,1.0000,1.0000,N/A,N/A,N/A,1239.93
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob080_timer,0.4000,0.7381,1.0000,1.0000,0.00,99.27,100.00,1248.67
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob081_7458,0.7000,0.9048,1.0000,1.0000,N/A,N/A,N/A,1319.62
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob082_lfsr32,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1725.68
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob083_mt2015_q4b,0.8000,0.8952,1.0000,1.0000,N/A,N/A,N/A,1248.17
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob084_ece241_2013_q12,0.5000,0.7381,1.0000,1.0000,N/A,N/A,N/A,1305.64
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob085_shift4,0.7000,0.7810,1.0000,1.0000,N/A,N/A,N/A,1429.32
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob086_lfsr5,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1109.58
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob087_gates,0.9000,0.8333,1.0000,1.0000,N/A,N/A,N/A,1334.44
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob088_ece241_2014_q5b,0.2000,0.5762,1.0000,1.0000,N/A,N/A,N/A,1196.21
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob089_ece241_2014_q5a,0.0000,0.4619,0.0000,1.0000,N/A,N/A,N/A,1264.83
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob090_circuit1,0.8000,0.9238,1.0000,1.0000,N/A,N/A,N/A,1216.30
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob091_2012_q2b,0.0000,0.6714,0.0000,1.0000,N/A,N/A,N/A,1331.96
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob092_gatesv100,0.3000,0.5048,1.0000,1.0000,0.00,98.94,N/A,1242.21
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob093_ece241_2014_q3,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1431.67
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob094_gatesv,0.1000,0.4095,1.0000,1.0000,N/A,N/A,N/A,1233.05
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob095_review2015_fsmshift,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1244.65
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob096_review2015_fsmseq,0.0000,0.1286,0.0000,1.0000,N/A,N/A,N/A,1508.50
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob097_mux9to1v,0.0000,0.5762,0.0000,1.0000,4.46,9.02,N/A,1358.28
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.4000,0.6619,1.0000,1.0000,N/A,N/A,N/A,1270.02
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob099_m2014_q6c,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1079.65
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob100_fsm3comb,0.1000,0.6619,1.0000,1.0000,N/A,N/A,N/A,1249.22
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob101_circuit4,0.4000,0.6905,1.0000,1.0000,N/A,N/A,N/A,1382.28
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob102_circuit3,0.2000,0.7952,1.0000,1.0000,N/A,N/A,N/A,1305.58
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob103_circuit2,0.3000,0.7762,1.0000,1.0000,N/A,N/A,N/A,1488.71
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob104_mt2015_muxdff,0.0000,0.0095,0.0000,1.0000,N/A,N/A,N/A,1576.71
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob105_rotate100,0.9000,0.7714,1.0000,1.0000,6.58,5.88,0.00,2636.11
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob106_always_nolatches,0.0000,0.7238,0.0000,1.0000,N/A,N/A,N/A,2401.37
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob107_fsm1s,0.4000,0.6714,1.0000,1.0000,N/A,N/A,N/A,1250.50
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob108_rule90,0.3000,0.5714,1.0000,1.0000,-9.74,84.51,100.00,5850.40
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob109_fsm1,0.6000,0.8238,1.0000,1.0000,N/A,N/A,N/A,1305.58
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob110_fsm2,0.5000,0.8048,1.0000,1.0000,N/A,N/A,N/A,1243.68
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob111_fsm2s,0.0000,0.7905,0.0000,1.0000,N/A,N/A,N/A,1375.92
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob112_always_case2,0.0000,0.0190,0.0000,1.0000,N/A,N/A,N/A,1209.10
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob113_2012_q1g,0.2000,0.3381,1.0000,1.0000,N/A,N/A,N/A,1249.02
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob114_bugs_case,0.0000,0.7286,0.0000,1.0000,N/A,N/A,N/A,1483.30
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob115_shift18,0.2000,0.6667,1.0000,1.0000,16.21,27.52,21.62,1757.42
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1220.84
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob117_circuit9,0.0000,0.5810,0.0000,1.0000,N/A,N/A,N/A,1182.68
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob118_history_shift,1.0000,0.7952,1.0000,1.0000,0.00,0.00,0.00,1312.97
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob119_fsm3,0.3000,0.6667,1.0000,1.0000,N/A,N/A,N/A,1278.02
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob120_fsm3s,0.1000,0.6952,1.0000,1.0000,N/A,N/A,N/A,1308.32
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob121_2014_q3bfsm,0.4000,0.6714,1.0000,1.0000,N/A,N/A,N/A,1465.40
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob122_kmap4,0.3000,0.7095,1.0000,1.0000,N/A,N/A,N/A,1190.72
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob123_bugs_addsubz,0.5000,0.8238,1.0000,1.0000,23.33,99.01,N/A,1388.59
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob124_rule110,0.0000,0.0095,0.0000,1.0000,-70.96,-262.01,-36.36,2200.44
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob125_kmap3,0.1000,0.6190,1.0000,1.0000,N/A,N/A,N/A,1197.56
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob126_circuit6,0.1000,0.4476,1.0000,1.0000,N/A,N/A,N/A,1221.21
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob127_lemmings1,0.2000,0.4905,1.0000,1.0000,N/A,N/A,N/A,1329.62
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob128_fsm_ps2,0.0000,0.1762,0.0000,1.0000,N/A,N/A,N/A,1211.27
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob129_ece241_2013_q8,0.5000,0.4762,1.0000,1.0000,N/A,N/A,N/A,1235.20
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob130_circuit5,0.1000,0.6667,1.0000,1.0000,N/A,N/A,N/A,1289.20
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob131_mt2015_q4,0.0000,0.6905,0.0000,1.0000,N/A,N/A,N/A,1330.76
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob132_always_if2,0.9000,0.8238,1.0000,1.0000,N/A,N/A,N/A,1143.98
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob133_2014_q3fsm,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1218.10
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob134_2014_q3c,0.0000,0.5238,0.0000,1.0000,N/A,N/A,N/A,1364.70
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,0.0000,0.1667,0.0000,1.0000,N/A,N/A,N/A,1147.93
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob136_m2014_q6,0.3000,0.5810,1.0000,1.0000,N/A,N/A,N/A,1385.53
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob137_fsm_serial,0.0000,0.2714,0.0000,1.0000,N/A,N/A,N/A,1381.83
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob138_2012_q2fsm,0.3000,0.7286,1.0000,1.0000,N/A,N/A,N/A,1360.23
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob139_2013_q2bfsm,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1319.92
llama3_clean_results,VerilogEval-Spec-to-RTL/Prob140_fsm_hdlc,0.0000,0.2048,0.0000,1.0000,N/A,N/A,N/A,1426.94
