phase,subset,seed,arm,benchmark,problem,reference_status,headline_eligible
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob153_gshare,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob153_gshare,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,VerilogEval-Spec-to-RTL,Prob153_gshare,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob153_gshare,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob009_div_16bit,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob009_div_16bit,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob012_multi_8bit,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob012_multi_8bit,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob014_multi_pipe_4bit,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob014_multi_pipe_4bit,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob023_up_down_counter,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob023_up_down_counter,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob026_asyn_fifo,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob026_asyn_fifo,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob027_LIFObuffer,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob027_LIFObuffer,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob039_serial2parallel,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob039_serial2parallel,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob042_width_8to16,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob042_width_8to16,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,RTLLM,Prob043_RAM,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob043_RAM,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob017_mux2to1v,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob017_mux2to1v,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob018_mux256to1,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob018_mux256to1,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob023_vector100r,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob023_vector100r,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob066_edgecapture,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob066_edgecapture,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob068_countbcd,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob068_countbcd,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob073_dff16e,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob073_dff16e,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob082_lfsr32,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob082_lfsr32,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob097_mux9to1v,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob097_mux9to1v,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob118_history_shift,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob118_history_shift,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob124_rule110,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob124_rule110,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob155_lemmings4,reference_available,true
heldout_dry_run,data/configs/holdout_reference_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob155_lemmings4,reference_available,true
